id,hotel name,hotel_name-href,address_street,address_district,address_zip,address_country,number_reviews,rating,check-in from,check-out until,check-in until,check-out from,stars,Family rooms,Non-smoking rooms
951,Overseas B&B,"https://www.booking.com/hotel/it/overseas-b-amp-b.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=efa40c5a47cb00ff&sr_order=hpe&ucfs=1&srpvid=efa40c5a47cb00ff&srepoch=1540518326&room1=A,A&hpos=6&hapos=891&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X891&from=searchresults;highlight_room=#hotelTmpl",Via Giovanni Giolitti 199,Central Station,00185 Rome,Italy,1125,6.3,14:00,11:00,20:00,6:30,,TRUE,TRUE
952,Colosseo12,"https://www.booking.com/hotel/it/colosseo12.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=b72a125a5946008c&sr_order=hpe&ucfs=1&srpvid=b72a125a5946008c&srepoch=1540521397&room1=A,A&hpos=15&hapos=225&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X225&from=searchresults;highlight_room=#hotelTmpl",Via di Sant'Erasmo 12,Rione Monti,00184 Rome,Italy,239,7.4,13:30,null,20:00,10:00,,TRUE,TRUE
953,Sailors' cabins +DoYouBnB concierge,"https://www.booking.com/hotel/it/awiderooms-coziest-quarter.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=6c9d0fac66f60027&sr_order=hpe&ucfs=1&srpvid=6c9d0fac66f60027&srepoch=1540520026&room1=A,A&hpos=3&hapos=513&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X513&from=searchresults;highlight_room=#hotelTmpl",29 Via Antonio Raimondi,Prenestino,00176 Rome,Italy,21,8,12:00,null,21:30,10:00,,TRUE,TRUE
954,B&B San Giorgio,"https://www.booking.com/hotel/it/b-amp-b-san-giorgio-roma.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=67fb0ec2ecd90071&sr_order=hpe&ucfs=1&srpvid=67fb0ec2ecd90071&srepoch=1540519557&room1=A,A&hpos=1&hapos=616&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X616&from=searchresults;highlight_room=#hotelTmpl",Via Conegliano 19,San Giovanni,00182 Rome,Italy,193,8.3,13:00,10:00,23:30,8:00,,TRUE,FALSE
955,Pitagora House,"https://www.booking.com/hotel/it/pitagora-house.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=2c4511b17d1300a9&sr_order=hpe&ucfs=1&srpvid=2c4511b17d1300a9&srepoch=1540521059&room1=A,A&hpos=3&hapos=288&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X288&from=searchresults;highlight_room=#hotelTmpl",via Palestro   44 piano 6°,null,00185 Rome,Italy,301,7.6,11:00,null,0:00,10:00,,FALSE,TRUE
956,Hostel Trustever,"https://www.booking.com/hotel/it/hostel-trustever.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=4f6910c1e83601e0&sr_order=hpe&ucfs=1&srpvid=4f6910c1e83601e0&srepoch=1540520579&room1=A,A&hpos=1&hapos=391&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X391&from=searchresults;highlight_room=#hotelTmpl",Via Francesco Benaglia 11,Trastevere,00153 Rome,Italy,1249,8.4,14:00,null,null,11:00,,TRUE,TRUE
957,Buone Vacanze,"https://www.booking.com/hotel/it/buone-vacanze.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=fe3f0d8e5c5a0112&sr_order=hpe&ucfs=1&srpvid=fe3f0d8e5c5a0112&srepoch=1540518941&room1=A,A&hpos=3&hapos=753&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X753&from=searchresults;highlight_room=#hotelTmpl",Piazza Santa Maria Maggiore 12 check in Via Principe Amedeo  96,null,00185 Rome,Italy,117,7.3,14:00,null,22:00,10:00,,FALSE,TRUE
958,Arie Romane Guesthouse,"https://www.booking.com/hotel/it/la-curia-guest-house-rome.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=c6af1421fd5b02be&sr_order=hpe&ucfs=1&srpvid=c6af1421fd5b02be&srepoch=1540522308&room1=A,A&hpos=13&hapos=28&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X28&from=searchresults;highlight_room=#hotelTmpl",Via Degli Scipioni 94,Vatican City - Prati,00192 Rome,Italy,344,8.7,12:00,null,17:00,10:30,,FALSE,TRUE
959,Apartment  La casa del nespolo,"https://www.booking.com/hotel/it/la-casa-del-nespolo-roma.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=668c0df5851602e2&sr_order=hpe&ucfs=1&srpvid=668c0df5851602e2&srepoch=1540519148&room1=A,A&hpos=14&hapos=719&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X719&from=searchresults;highlight_room=#hotelTmpl",89 Via dei Pisoni,Appio Latino,00175 Rome,Italy,30,9.6,15:00,10:00,0:00,0:00,,FALSE,TRUE
960,Apartment  appartamento,"https://www.booking.com/hotel/it/appartamento-roma12345.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=c7fd0c17e940016a&sr_order=hpe&ucfs=1&srpvid=c7fd0c17e940016a&srepoch=1540518192&room1=A,A&hpos=2&hapos=917&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X917&from=searchresults;highlight_room=#hotelTmpl",156 Via delle Palme,Prenestino,00171 Rome,Italy,61,7.8,14:00,10:00,20:00,8:00,,TRUE,TRUE
